ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1546372527395508224,2022-07-11_14:55:15,バーチャル空間「oVice」が「Microsoft Teams」のステータスと連携 https://t.co/TSElz7w62H #MicrosoftTeams #oVice,1,0,1041866299939246080,3d_media_esg,3D MEDIA公式,3D MEDIA公式Twitterです！#VR や #AR #3Dプリンター などの最新技術を取材し、みなさんへ配信していきます！,2844,1164,2018-09-18_10:47:37,False,http://pbs.twimg.com/profile_images/1041875848742166530/5iJ-f99k_normal.jpg,,https://t.co/Z5h5my0W3z
1546368350766383104,2022-07-11_14:38:39,"企業が社会貢献やSDGsをどのように取り組むべきなのか？そしてどの様に始めるべきなのかをお悩みでしたら、Pay for Worldと一緒に始めてみませんか？詳しくは私たちのHPをご覧ください。
#SDGs #CSR #ESG 
https://t.co/C5OzG2vOqz",0,0,1324231296978087936,pay_for_world,Pay for World,私達の楽しみが世界の悲しみを救う事に繋がる🌱そんな社会を作るための活動しています。私達が日常の中で楽しいと思っている物・事・サービスに僅かな寄付が入っていたら世界を救う持続可能な支援の波を作り出せます🌏楽しく生きる事が支援になる社会を作ります。#SDGs #CSR,1366,934,2020-11-05_15:05:30,False,http://pbs.twimg.com/profile_images/1332263460936114177/8F8ZuuPZ_normal.jpg,,https://t.co/ajJt1Siyuj
1546367618981908480,2022-07-11_14:35:45,"RT @vamdaruma: 毎日朝刊14p、""ESG投資"" とは。 地球温暖化対策や社会貢献に取り組む企業に投資する ""ESG投資""が、世界的な広がり。将来的な投資リスクを懸念する投資家の働き掛けで、国内企業でも一部の化石燃料からの投資撤退を表明。投資家が企業を動かす時代を迎…",0,14,82737161,vamdaruma,だる満 社主,創業30余年。不景気風に倒れそうで倒れない零細企業を経営。海外プラント建設への技術者出向、派遣。酷暑極寒の地でも働ける、体力とやる気がある若者はいるか。,5001,3321,2009-10-16_08:01:37,False,http://pbs.twimg.com/profile_images/1103218221/_____normal.jpg,http://abs.twimg.com/images/themes/theme19/bg.gif,https://t.co/CI0xdQsra9
1546366959117570049,2022-07-11_14:33:07,デロイト トーマツ、業績連動報酬へのESG要素反映に関する日・英・米比較結果を公開～サステナビリティと報酬ガバナンスの観点から、ESGの情報開示状況についても分析【デロイト トーマツ】 https://t.co/oC57t6NAqB #役員報酬 #ESG #サステナビリティ,0,0,88437682,keizaireport,m_sato,経済レポート情報(http://t.co/qb2R8LrYq2)というサイトの管理人です。毎日サイトで紹介している経済レポートの中から、レポートを厳選し紹介していきます。,1,1261,2009-11-09_00:13:46,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/2yGTyvq3Ll
1546360777183227906,2022-07-11_14:08:33,日本がSDGsという言葉を使ってるの、だいたいESGの意味な気がする,0,0,1486500601878183937,SohiyanZera660,ぜんらみ,S660乗ってます/SUMC/上智国関法/ホモ・ルーデンスであれ,68,91,2022-01-27_09:48:58,False,http://pbs.twimg.com/profile_images/1526378731040026624/HNU6e2EC_normal.jpg,,
1546358943261331456,2022-07-11_14:01:16,"【ゴールドマン・サックスの必読ニュース】

1) ゴールドマン、消費者事業の損失が今年は12億ドルを超えると想定 

2) SEC、ESGファンドをめぐり Goldman Sachsに調査を実施 

3) GLR／ゴールドマン・サ… https://t.co/I3LagSvjSZ",0,0,1183222529323761664,BizHis1,BizHis 必読ビジネスニュース配信,『業界・企業の今を知る』がコンセプト。9つの業界と100以上の企業・キーワードの最新必読ニュースを毎日更新しています。是非サイトを覗いてみてください👇,55,302,2019-10-13_12:27:21,False,http://pbs.twimg.com/profile_images/1241588942383665152/uR0g6WOQ_normal.jpg,,https://t.co/QPSfUcTI6Q
1546358714051055616,2022-07-11_14:00:22,"【アメリカ】ファイザー、スコープ3含む2040年カーボンニュートラル宣言。取引先との協働強化
https://t.co/G3Jx0Hc2yb #ESG #Sustainability #SDGs",0,0,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546355184137551872,2022-07-11_13:46:20,RT @EsgAngela: ＥＳＧとサステナブル投資の基礎知識－目的や手法、規制をおさらい - Bloomberg https://t.co/XUiQ7wJlma,0,1,114145973,takumajima,antelk,"Artist. iridium77 CDO. Art of After Anthropocene. ESG*SDGs. A seed for the next. MOT. AMMA. “If you’re not part of the solution, you’re part of the problem.”",189,205,2010-02-14_17:55:56,False,http://pbs.twimg.com/profile_images/1280427718702583810/LDUyIkqy_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,https://t.co/Nmcyy0PZom
1546353818228645889,2022-07-11_13:40:54,"デロイト トーマツ グループは、環境・社会・ガバナンス（ESG）への関心が高まるなかで、日・英・米における業績連動報酬へのESG要素反映状況について調査結果を公開しました。
https://t.co/3ML5QmI9rJ",1,0,934581441714724864,deloitte_jp,デロイト トーマツ グループ（Deloitte Japan）,デロイト トーマツ グループは、5つのビジネスのプロフェッショナルが、専門領域や国境を越えてつながることで、インパクトあるInnovationの創出や変革を促進し、カタリスト（触媒）としてクライアントや経済社会に貢献します。#DNNOVATION,15,8634,2017-11-26_09:35:54,False,http://pbs.twimg.com/profile_images/1199241035970269187/yKO6fjKa_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/WiHE2iM1EP
1546351426481561600,2022-07-11_13:31:24,RT @keyplayers: 悔しい...こんな評価なのか！現在チャットでキャリア相談、年収査定行っています！Web3、SaaS、ESG、年収アップ、起業、フリーランスに向けての作戦会議、無料年収査定、キャリア相談をチャットやオンラインで行っております。「転職後活躍」社会貢献…,0,10,57615221,seoamigo,吉岡専務@ウィルゲート│ IT特化のM&A仲介。2年で33件成約,"176名のhttps://t.co/I2ZCMyDT6zを経営/【SEO】でGoogle1位獲得中/SEO,M&A,ソーシャルセリング,鈴木亜美をこよなく愛す。日本初?!Facebook友達1万人/SNSで年3億円受注/COO&新規事業/岡山出身/35才/慶應経済/18歳で起業→22歳で借金1億円。7ヶ月で50名採用！📩は気軽にどうぞ",738,26511,2009-07-17_20:05:40,False,http://pbs.twimg.com/profile_images/1506389876392235008/kGNxg-pz_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/jpdM31isSL
1546349348627398656,2022-07-11_13:23:09,デロイト トーマツ、業績連動報酬へのESG要素反映に関する日・英・米比較結果を公開 https://t.co/NMBv27G5CC https://t.co/TbznFI100P,0,0,2855893662,colour_ishizaki,ishizaki,"自由に楽しく生きていく！
よろしくお願いします♪

#相互フォロー #相互100 #相互 #フォロー",368,135,2014-10-15_05:29:41,False,http://pbs.twimg.com/profile_images/816555514448359424/hfABVnE3_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546348232015761409,2022-07-11_13:18:42,"ESGは脱炭素から自然へ　企業は新たな要求に備えを：日本経済新聞 https://t.co/TH7u6oBcXe #日経会社情報 各社の経営方針などを加味し、実際の業務と照らし合わせ、
中長期でどう取り組むかの計画することが大切だと思いました。",0,0,1458414577671356417,iZ9GJ09XgzXOXIE,寺光亮祐,リユースと顧客関係管理のトピックスを中心に各SNSにて発信中,130,34,2021-11-10_21:42:10,False,http://pbs.twimg.com/profile_images/1458414680591179777/I_OVWaWi_normal.png,,https://t.co/SIM9V34b00
1546346222952521729,2022-07-11_13:10:43,"中電の電源はほぼ天然ガスでソーラーはごく僅かでした。

esgからは遠かったね😰😰 https://t.co/GaMd82MC7J",1,0,98576968,ekiriko,7Gのオペレーター@現場はブラックぽい 盆休みは能登かも？,水泳と自転車、キャンプがしゅみ 乗り物VFR400R、VT SPADA改 大型も良いな 大阪市西成の近く→文京区→府中市→愛知県尾張地方,411,232,2009-12-22_16:22:44,False,http://pbs.twimg.com/profile_images/1684667796/11746kiriko_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546346110637092865,2022-07-11_13:10:17,"RT @Sankei_news: 【正論】日本再建に尽くした安倍元首相
評論家・江崎道朗 https://t.co/wnHDOPGk7W

退陣後も、伝統に基づく皇室制度の再建、北朝鮮の拉致問題、憲法改正といった課題に精力的に取り組み、国政を牽引していた。これらの課題解決の動き…",0,367,800914945663565828,toshibo_esg,Toshi としぼー Horii,"""口のきけない人のために、口を開きなさい。すべての不幸な人の訴えのために。 口を開いて、正しくさばき、苦しむ人や貧しい人のためにさばきを行いなさい。"" 箴言31章8～9節 Proverbs 31:8-9
#ProLife #ProFamily #AdoptionNOTabortion #Freedom #日本大好き",1409,80,2016-11-22_13:12:58,False,http://pbs.twimg.com/profile_images/800918333767856128/6BkuK-RY_normal.jpg,,https://t.co/YEhfXGZqQI
1546345570972868611,2022-07-11_13:08:08,デロイト トーマツ、業績連動報酬へのESG要素反映に関する日・英・米比較結果を公開 https://t.co/Xe9pJwuPZ5,0,0,310197074,digitalpr_jp,デジタルPRプラットフォーム,ニュースより早く公式情報をリアルタイムにお届け！　1500以上のリーディングカンパニー・大学が利用するDigital PR Platformからプレスリリース情報を発信しています。,7946,12264,2011-06-03_19:35:38,False,http://pbs.twimg.com/profile_images/756300496554582016/XycaiDuK_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/v9ZnlRQM4A
1546344633730420738,2022-07-11_13:04:25,@hirox246 投資家や資本家は、デューディリジェンス、RD投資、ESG投資、エンジェル投資、外部性を気にすることもないし、自己顕示欲で国民は馬鹿のプライステイカー総馬鹿。M&amp;Aはヒューマンキャピタルうんこ、特許があってもした… https://t.co/JfLsuPSke1,0,0,1532281699798614017,4B2XFHhJSJG9tfd,衣更学,ご飯と友達(自分が自分でいられる)を下さい。僕の努力でどうにもなりません。,8,0,2022-06-02_17:43:31,False,http://pbs.twimg.com/profile_images/1533416432423186432/rlbIP1RY_normal.jpg,,
1546344392310476801,2022-07-11_13:03:27,ESGがYouTube上げてくれること期待しよ,0,0,997465859617574914,Leeeeomadock,まどっく,人間が使えないスマブラー ブービーな犬使い 旅行とスノボとライブの人 ヘッダーは@suijyakusyaさん,255,186,2018-05-18_22:16:07,False,http://pbs.twimg.com/profile_images/1348100306660298755/5Kol-Hau_normal.jpg,,
1546343645061709824,2022-07-11_13:00:29,"【アメリカ】Symbrosia、シリーズAで約9.5億円調達。ダノン傘下CVC主導。家畜メタン削減飼料
https://t.co/hX00LWaIz3 #ESG #Sustainability #SDGs",3,0,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546343522910973953,2022-07-11_13:00:00,"【ESG】ESGは脱炭素から自然へ　企業は新たな要求に備えを（日本経済新聞電子版　7/10配信） #企業危機管理 #ESG #脱炭素 #自然 

https://t.co/Bk3TCw3e7u",0,0,820889796260155392,SP_Network_jp,株式会社エス・ピー・ネットワーク,#企業危機管理 の専門会社、エス・ピー・ネットワークの公式アカウントです。危機管理に関するさまざまな情報をタイムリーにお届けいたします。（※各種の返信・フォローは行いません）,0,255,2017-01-16_16:05:53,False,http://pbs.twimg.com/profile_images/940059737294479360/K3dJ9XAh_normal.jpg,,https://t.co/cFDR8YSqVQ
1546342390868623360,2022-07-11_12:55:30,"ESG投資とは、環境問題(Environment)・社会課題(Social)・企業統治(Governance)を判断材料に反映した投資法です。

ESG投資をすることで、自分の活動範囲を超えてサスティナブル企業を応援でき、また長期… https://t.co/EsYiPS13Uk",1,0,1329637142016917505,awake_and_jp,AWAKE&【公式】,"エシカルライフスタイルを学ぶ実践型オンラインスクール🎓月額3,300円(別途入会金)の動画視聴型サービス💻 #エシカル #SDGs #気候変動 #ソーシャルビジネス #スローライフ #アニマルライツ #ESG投資 #プラントベース #LGBT #エンパシー #食品ロス #経済 #ホリスティックヘルス",1983,507,2020-11-20_13:06:47,False,http://pbs.twimg.com/profile_images/1342890672219688960/5Zix2z-q_normal.jpg,,https://t.co/6lLXJvSnu2
1546341483946467333,2022-07-11_12:51:54,"#ESG は、本当に、フィリピン国民の役に立つのでしょうか?

私の過去の経験では #フィリピン では キレイな言葉が羅列された場合は、真に皆んなのための社会的利得は少なかったとおもえるのです。
特に環境問題分野では。 https://t.co/DBXdVOesyz",1,0,1499194600615194626,Swairl_ninja,Swail_Twirl_Whirl 🇵🇭,This world is a Swairl.,49,21,2022-03-03_10:27:42,False,http://pbs.twimg.com/profile_images/1499201938717491205/zdqSwjwC_normal.jpg,,
1546341247698321408,2022-07-11_12:50:57,"今食べてるランチは世界の誰かが食べれないもの。
その全てに、ほんの少し寄付が入っていたら世界の飢餓を救う事が出来る大きな支援の力になります。私たちの楽しい #ランチ が世界の悲しみを救う社会を創りませんか？協賛頂ける飲食店を募集しています #ESG #SDGs #教育",3,0,1324231296978087936,pay_for_world,Pay for World,私達の楽しみが世界の悲しみを救う事に繋がる🌱そんな社会を作るための活動しています。私達が日常の中で楽しいと思っている物・事・サービスに僅かな寄付が入っていたら世界を救う持続可能な支援の波を作り出せます🌏楽しく生きる事が支援になる社会を作ります。#SDGs #CSR,1366,934,2020-11-05_15:05:30,False,http://pbs.twimg.com/profile_images/1332263460936114177/8F8ZuuPZ_normal.jpg,,https://t.co/ajJt1Siyuj
1546335976666320896,2022-07-11_12:30:01,"『ESG A to Z』
#radiko で配信中(1週間後までお聴きいただけます)
#radionikkei #シェアラジオ 

https://t.co/H4SDYL35nS",0,0,786156540629614592,radionikkei_tf,ラジオNIKKEI タイムフリーInfo,ラジオNIKKEIのタイムフリー関連情報をご案内します。radiko.jpのタイムフリーで番組を聴いて、#シェアラジオ でみんなと共有しましょう！,0,287,2016-10-12_19:48:20,False,http://pbs.twimg.com/profile_images/787998013595660292/ZYgVtkZh_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/KMlq8lHaQ6
